Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
HYUNDAI HONGKONG    ;212348000;Busan;Singapore;14.0;304.0;40.0;161.0;4.12;10000.0;2026-05-22 06:19:12.473884009;{'Day': 22, 'Hour': 3, 'Minute': 15, 'Month': 5}
MANU FORTI;244670140;Antwerp;Rotterdam;0.0;85.0;10.0;16.0;4.22;10000.0;2026-05-22 06:19:13.519347336;{'Day': 24, 'Hour': 9, 'Minute': 0, 'Month': 5}
MAERSK SELETAR;369309000;New;Savannah;12.7;319.0;40.0;0.0;1.99;10000.0;2026-05-22 06:19:21.940677147;{'Day': 26, 'Hour': 7, 'Minute': 0, 'Month': 5}
SONGA RUBY;248941000;Le;Antwerp;6.3;144.0;22.0;11.0;1.79;10000.0;2026-05-22 06:19:31.399507609;{'Day': 8, 'Hour': 8, 'Minute': 0, 'Month': 5}
GIOCONDA            ;209415000;Hamburg;Antwerp;7.3;107.0;18.0;11.0;1.79;10000.0;2026-05-22 06:19:35.100183459;{'Day': 29, 'Hour': 11, 'Minute': 0, 'Month': 5}
ADMIRAL NEPTUNE     ;636025212;Antwerp;Le;8.8;134.0;23.0;4.0;;;2026-05-22 06:21:38.447371727;{'Day': 22, 'Hour': 12, 'Minute': 0, 'Month': 5}
ILLUSION;211744760;Rotterdam;Antwerp;2.1;110.0;14.0;11.0;1.79;10000.0;2026-05-22 06:21:46.014330593;{'Day': 19, 'Hour': 9, 'Minute': 30, 'Month': 5}
BERNSTEIN           ;209341000;Rotterdam;Le;5.1;99.0;14.0;4.0;;;2026-05-22 06:21:46.205070149;{'Day': 23, 'Hour': 10, 'Minute': 0, 'Month': 5}
ARCADIA;310459000;Piraeus;Rotterdam;8.2;285.0;32.0;16.0;4.22;10000.0;2026-05-22 06:21:48.759884234;{'Day': 24, 'Hour': 2, 'Minute': 30, 'Month': 5}
SOMTRANS X;205369090;Antwerp;Rotterdam;0.1;135.0;15.0;16.0;4.22;10000.0;2026-05-22 06:21:48.788013283;{'Day': 3, 'Hour': 1, 'Minute': 0, 'Month': 11}
COSCO PLANET        ;477345900;Rotterdam;Hamburg;13.3;400.0;59.0;12.0;5.14;10000.0;2026-05-22 06:21:50.102615203;{'Day': 28, 'Hour': 0, 'Minute': 30, 'Month': 5}
MICHELANGELO;211520770;Rotterdam;Antwerp;1.6;110.0;13.0;11.0;1.79;10000.0;2026-05-22 06:21:53.503543356;{'Day': 13, 'Hour': 1, 'Minute': 0, 'Month': 5}
MUSKETIER;244001312;Antwerp;Rotterdam;3.5;135.0;18.0;16.0;4.22;10000.0;2026-05-22 06:24:52.467992594;{'Day': 21, 'Hour': 19, 'Minute': 17, 'Month': 5}
STI ACTON           ;538005405;Rotterdam;Antwerp;7.8;184.0;27.0;11.0;1.79;10000.0;2026-05-22 06:24:52.710222374;{'Day': 11, 'Hour': 23, 'Minute': 0, 'Month': 5}
KROONSTAD;205546690;Rotterdam;Antwerp;4.2;136.0;18.0;11.0;1.79;10000.0;2026-05-22 06:24:59.299186676;{'Day': 24, 'Hour': 22, 'Minute': 58, 'Month': 7}
KAAIMAN;211590200;Rotterdam;Antwerp;0.2;110.0;12.0;11.0;1.79;10000.0;2026-05-22 06:25:10.872202645;{'Day': 28, 'Hour': 0, 'Minute': 58, 'Month': 4}
VISTANOVA;269057099;Rotterdam;Antwerp;1.5;110.0;12.0;11.0;1.79;10000.0;2026-05-22 06:27:10.630383822;{'Day': 1, 'Hour': 4, 'Minute': 30, 'Month': 5}
ORANJE NASSAU 2;244620876;Antwerp;Rotterdam;4.2;110.0;14.0;16.0;4.22;10000.0;2026-05-22 06:27:12.018199314;{'Day': 28, 'Hour': 18, 'Minute': 39, 'Month': 5}
KMTC KEELUNG        ;440585000;Busan;Singapore;9.2;168.0;27.0;161.0;4.12;10000.0;2026-05-22 06:27:12.807173331;{'Day': 23, 'Hour': 13, 'Minute': 30, 'Month': 5}
MUMBAI MAERSK;219039000;Bremerhaven;Rotterdam;16.5;399.0;58.0;16.0;4.22;10000.0;2026-05-22 06:27:16.818669306;{'Day': 16, 'Hour': 2, 'Minute': 30, 'Month': 6}
TRUST GALAXY        ;563084900;Antwerp;Rotterdam;8.1;149.0;24.0;16.0;4.22;10000.0;2026-05-22 06:27:20.046588223;{'Day': 26, 'Hour': 20, 'Minute': 0, 'Month': 5}
CMA CGM VENDOME;563294600;Rotterdam;Hamburg;15.9;400.0;62.0;12.0;5.14;10000.0;2026-05-22 06:27:21.037274358;{'Day': 10, 'Hour': 11, 'Minute': 30, 'Month': 5}
LE FORMIDABLE       ;244690935;Rotterdam;Antwerp;1.7;114.0;16.0;11.0;1.79;10000.0;2026-05-22 06:27:23.806428869;{'Day': 15, 'Hour': 16, 'Minute': 0, 'Month': 1}
CHEM SIRIUS         ;636017165;Antwerp;Rotterdam;9.0;146.0;24.0;16.0;4.22;10000.0;2026-05-22 06:27:25.865975186;{'Day': 16, 'Hour': 16, 'Minute': 0, 'Month': 5}
