Ship_Name;MMSI;Origin_Port;Destination_Port;Draught;Length;Width;Congestion;Wind;Visibility;Arrival_Time;Crew_ETA
PETER VAN AEMSTEL;244710299;Rotterdam;Antwerp;1.8;39.0;6.0;4.0;1.79;10000.0;2026-05-24 15:05:35.523707570;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
DUCHESS             ;232034026;Felixstowe;Rotterdam;3.0;27.0;11.0;14.0;4.22;10000.0;2026-05-24 20:06:58.430816123;{'Day': 26, 'Hour': 12, 'Minute': 0, 'Month': 5}
AQUA ALBIS;244700668;Rotterdam;Antwerp;0.4;86.0;9.0;3.0;1.79;10000.0;2026-05-25 11:54:15.144874219;{'Day': 27, 'Hour': 13, 'Minute': 36, 'Month': 1}
ATLANTIC PERFORMER;244710207;Antwerp;Rotterdam;0.0;135.0;14.0;19.0;4.22;10000.0;2026-05-25 20:44:04.705380610;{'Day': 25, 'Hour': 23, 'Minute': 0, 'Month': 5}
ALLEGRO;244690999;Rotterdam;Antwerp;0.0;80.0;9.0;8.0;1.79;10000.0;2026-05-26 04:09:41.211067010;{'Day': 19, 'Hour': 10, 'Minute': 17, 'Month': 5}
SCALDIS;205456690;Antwerp;Rotterdam;2.0;135.0;17.0;24.0;4.22;10000.0;2026-05-26 07:35:15.023094874;{'Day': 28, 'Hour': 1, 'Minute': 47, 'Month': 5}
MSC UNITY VI        ;357077000;Melbourne;Busan;10.7;285.0;40.0;0.0;2.06;10000.0;2026-05-26 10:27:41.360612168;{'Day': 12, 'Hour': 23, 'Minute': 0, 'Month': 5}
TYGO;244700010;Antwerp;Rotterdam;2.2;100.0;11.0;17.0;4.22;10000.0;2026-05-26 12:28:41.377067881;{'Day': 27, 'Hour': 7, 'Minute': 19, 'Month': 5}
MSC ZOE             ;352757000;Singapore;Busan;13.9;396.0;59.0;16.0;2.06;10000.0;2026-05-26 17:17:06.035177164;{'Day': 28, 'Hour': 21, 'Minute': 0, 'Month': 5}
BUDAPEST EXPRESS    ;636093193;Vancouver;Busan;13.7;335.0;43.0;16.0;2.06;10000.0;2026-05-26 17:32:08.988930240;{'Day': 12, 'Hour': 1, 'Minute': 0, 'Month': 5}
ONE COMMITMENT      ;431332000;Los;Busan;11.1;316.0;46.0;49.0;2.06;10000.0;2026-05-26 18:45:04.204947801;{'Day': 6, 'Hour': 12, 'Minute': 0, 'Month': 5}
DAEHO SUNNY         ;440163000;Singapore;Busan;4.6;114.0;18.0;49.0;2.06;10000.0;2026-05-26 18:51:27.426649867;{'Day': 23, 'Hour': 23, 'Minute': 0, 'Month': 5}
MONOMERA;253000104;Rotterdam;Antwerp;0.0;101.0;10.0;10.0;1.79;10000.0;2026-05-27 08:07:09.960761714;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
MY WAY              ;211749250;Rotterdam;Antwerp;1.5;110.0;12.0;8.0;1.79;10000.0;2026-05-27 08:25:42.969066607;{'Day': 27, 'Hour': 10, 'Minute': 0, 'Month': 5}
JASMAR              ;211516560;Bremerhaven;Antwerp;2.4;106.0;11.0;8.0;1.79;10000.0;2026-05-27 08:42:17.663450642;{'Day': 10, 'Hour': 14, 'Minute': 49, 'Month': 5}
DUANDRA;244394718;Antwerp;Rotterdam;4.0;135.0;18.0;4.0;4.22;10000.0;2026-05-27 17:45:07.153828955;{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}
MARK HARDI 3;211114210;Rotterdam;Antwerp;2.5;110.0;46.0;4.0;1.79;10000.0;2026-05-27 18:51:50.926824046;{'Day': 29, 'Hour': 0, 'Minute': 0, 'Month': 5}
BLUE NATHALIE;244371252;Antwerp;Rotterdam;3.0;110.0;13.0;13.0;4.22;10000.0;2026-05-28 04:13:57.220838107;{'Day': 28, 'Hour': 2, 'Minute': 0, 'Month': 5}
KROONSTAD;205546690;Rotterdam;Antwerp;4.2;136.0;18.0;4.0;1.79;10000.0;2026-05-28 05:46:14.723476816;{'Day': 24, 'Hour': 22, 'Minute': 58, 'Month': 7}
ADRIANA      ;244750594;Rotterdam;Antwerp;0.1;85.0;8.0;6.0;1.79;10000.0;2026-05-28 07:27:31.495781010;{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}
