Feature;Random_Forest_Weight;XGBoost_Weight
Draught;0.21162118210438144;0.06475958
Arr_Hour;0.17720286702968058;0.109375544
Origin_ID;0.1737794592798972;0.3366118
Congestion;0.14064542183141251;0.11592742
Length;0.11080707961253644;0.06566092
Width;0.10263347174845044;0.08131287
Wind;0.05696290726844526;0.14902033
Port_ID;0.02457497957511036;0.04175942
Visibility;0.0017726315500858228;0.03557216
